Name,Men,Women,Total
Jacobien,0,833,833
Jeannine,31,800,831
Jörgen,830,3,833
Justinus,824,3,827
Juliët,3,820,823
Juriaan,815,0,815
Jedidja,110,703,813
Jurrian,808,3,811
Johanneke,0,803,803
Jonna,5,788,793
Jaapje,8,784,792
Jaron,788,3,791
Jon,770,18,788
Johny,761,13,774
Josette,11,761,772
Jaël,330,432,762
Jamilla,3,756,759
Jeannetta,16,740,756
Jaqueline,7,741,748
Jochum,737,3,740
Juna,11,724,735
Jeske,0,730,730
Janske,7,718,725
Jentina,0,724,724
Jamy,354,366,720
Jorian,711,7,718
Joah,704,13,717
Jeen,704,3,707
Jitze,707,3,710
Joren,701,3,704
Jorieke,0,699,699
Jorick,686,0,686
Jorden,671,13,684
Jojanneke,0,681,681
Jaime,534,137,671
Judy,13,658,671
Jerome,658,12,670
Jinthe,3,667,670
Jannis,661,8,669
Jessey,526,141,667
Janina,6,657,663
Jozefine,22,638,660
Jimi,634,25,659
Joos,605,46,651
Jozefien,28,623,651
Jaleesa,3,649,652
Jord,647,3,650
Jori,454,194,648
Jozepha,6,642,648
Janetta,3,638,641
Jermain,637,0,637
Juliet,3,635,638
Jaden,550,82,632
Joline,3,631,634
Jairo,624,0,624
Jorina,3,613,616
Jaylen,596,13,609
Jetty,3,601,604
Judocus,587,9,596
Janiek,164,425,589
Jo-Ann,3,571,574
Jolein,0,572,572
Janus,565,3,568
Just,567,0,567
Juno,155,402,557
Janou,66,490,556
Jeff,550,5,555
Jula,3,546,549
Jeane,3,547,550
Jaouad,546,0,546
Jayce,533,13,546
Jobina,8,529,537
Jefta,516,20,536
Juda,500,33,533
Jean-Pierre,515,16,531
Jaro,521,3,524
Jeronimus,513,6,519
Jacolien,0,516,516
Jose,205,308,513
Jaimie,222,290,512
Jelly,0,509,509
Jaxx,501,5,506
Jocelyn,22,480,502
Josh,469,33,502
Jenne,396,103,499
Joery,495,3,498
Jethro,496,3,499
Javier,491,3,494
Josefus,475,9,484
Jenthe,30,452,482
Jillian,36,446,482
Jaylin,23,458,481
Joes,386,87,473
Joaquin,470,3,473
Janique,27,443,470
Jildau,3,466,469
Julienne,24,444,468
Jasmina,3,463,466
Jinke,6,453,459
Jeremias,441,3,444
Jelena,0,441,441
Joya,6,430,436
Jasperina,3,433,436
Jerôme,424,8,432
Jia,186,245,431
Jaylee,8,422,430
Jo-Anne,3,424,427
Jetse,424,3,427
Jorine,0,422,422
Jippe,372,45,417
Jobje,5,408,413
Jef,399,12,411
Jorge,396,8,404
Jurrie,394,5,399
Jelmar,394,3,397
Jesaja,364,32,396
Japke,3,388,391
Jellie,3,389,392
Jelske,3,387,390
Jopie,173,215,388
Jaylano,382,0,382
Joel,367,14,381
Josse,307,72,379
Jordie,358,17,375
