Name,Men,Women,Total
Kardelen,0,98,98
Klarina,0,98,98
Kaithlyn,0,97,97
Kean,96,3,99
Klaasjan,96,0,96
Kenzi,22,73,95
Karam,91,3,94
Klasine,3,93,96
Kaleb,93,0,93
Katelynn,0,93,93
Khloé,0,93,93
Korstiana,0,93,93
Kumari,0,93,93
Kyllian,91,3,94
Kady,0,91,91
Kara,3,87,90
Karuna,8,83,91
Keyan,90,3,93
Kirti,3,89,92
Kerwin,89,3,92
Kajol,0,89,89
Kenrick,89,0,89
Kien,82,7,89
Kalinka,0,88,88
Kristianne,0,88,88
Kyo,75,13,88
Karol,85,3,88
Kwasi,86,0,86
Kiefer,84,3,87
Kundina,0,84,84
Kea,3,80,83
Klaar,68,15,83
Koeno,83,0,83
Kayan,71,11,82
Korné,82,0,82
Katarzyna,3,79,82
Kylan,80,3,83
Kadriye,0,80,80
Kaylinn,0,80,80
Kalina,0,79,79
Kezban,0,79,79
Klazine,0,79,79
Kristof,79,0,79
Kaia,9,69,78
Kicky,7,71,78
Kimber,3,76,79
Kina,5,73,78
Kaitlin,0,77,77
Keshav,77,0,77
Krispijn,77,0,77
Kunje,0,77,77
Kirstie,0,76,76
Katelyn,0,75,75
Kazimierz,75,0,75
Kağan,74,0,74
Kor,71,3,74
Krissy,0,74,74
Kasim,70,3,73
Kyro,72,3,75
Kyomi,3,71,74
Karsien,68,3,71
Kenley,62,9,71
Kiyomi,0,71,71
Kuinira,0,71,71
Kennedy,53,17,70
Klaes,70,0,70
Korina,0,70,70
Kyani,38,32,70
Kaye,44,25,69
Kerensa,3,68,71
Klaudia,3,66,69
Krisje,0,69,69
Kenna,5,63,68
Konstantin,68,0,68
Korine,0,68,68
Ky-mani,62,6,68
Kemâl,67,0,67
Khanh,31,36,67
Kok,62,5,67
Keltoum,3,65,68
Kendrick,66,0,66
Kester,66,0,66
Khang,64,3,67
Kiyana,0,66,66
Konstantijn,66,0,66
Károly,58,7,65
Kawita,0,65,65
Knelske,0,65,65
Kaiden,64,0,64
Kaïn,64,0,64
Kazimir,64,0,64
Kizzy,3,62,65
Kornelske,0,64,64
Kynan,63,3,66
Kaouthar,0,62,62
Kasimir,62,0,62
Kess,23,39,62
Kong,62,0,62
Karmen,0,61,61
Kassandra,0,61,61
Kaydee,7,54,61
Kent,61,0,61
Khushi,0,61,61
Kirstine,0,61,61
Kitana,0,61,61
Kathalijne,0,60,60
Kellie,3,58,61
Komal,3,59,62
Kürşad,60,0,60
Kayo,53,6,59
Kie,37,22,59
Ky-Mani,55,3,58
Kaelan,57,3,60
Kendall,25,33,58
Koenradus,57,3,60
Krystel,0,58,58
Kwint,58,0,58
Karline,0,57,57
Kaylan,54,3,57
Kelsy,3,56,59
Keri,3,55,58
Kartini,0,56,56
Kayhan,56,0,56
Kyrill,54,3,57
Keona,3,53,56
Kirana,3,53,56
Kyaro,55,0,55
Kyla,3,54,57
Kaine,53,3,56
Keoni,49,5,54
Kikki,3,51,54
Kyandro,54,0,54
Kamilla,0,53,53
Keenan,52,3,55
Keetie,0,53,53
Kenai,52,3,55
Kora,0,53,53
Kornel,52,3,55
Kristijan,53,0,53
Kamel,40,12,52
Keane,52,0,52
Keke,18,34,52
Kersten,18,34,52
Kiem,25,27,52
Karenina,0,51,51
Kenzie,23,28,51
Kiomi,0,51,51
Kiri,3,48,51
Kıvanç,51,0,51
Kiyara,0,51,51
Korien,0,51,51
Kriena,0,51,51
Kwadwo,51,0,51
Kwinten,51,0,51
Kyenna,3,50,53
Kabir,50,0,50
Kelley,5,45,50
Kenya,3,48,51
Klarinda,0,50,50
Koemarie,0,50,50
Kojo,50,0,50
Kwong,49,3,52
Kamran,43,6,49
Karl-Heinz,48,3,51
Keije,48,3,51
Keysha,0,49,49
Kaley,3,46,49
Kâmil,48,0,48
Karsina,0,48,48
Kashif,46,3,49
Katya,0,48,48
Kimball,23,25,48
Kunera,0,48,48
Kwesi,48,0,48
Kyen,48,0,48
Kaajal,0,47,47
Kaira,5,42,47
Kamila,0,47,47
Kang,39,8,47
Karmijn,3,45,48
Karo,22,25,47
Keo,47,0,47
Konadu,15,32,47
Kathalina,0,46,46
Kennard,46,0,46
Kunegonda,3,45,48
Kain,45,0,45
Kalijn,0,45,45
Kate-Lynn,0,45,45
Keung,44,3,47
Keziah,3,42,45
Kymora,0,45,45
Keoma,35,9,44
Kieke,0,44,44
Kieu,3,43,46
Krystian,44,0,44
Kailyn,0,43,43
Katalina,0,43,43
Kelt,43,0,43
Keyon,43,0,43
Khadijah,0,43,43
Kimani,22,21,43
Kinga,3,41,44
Kiu,22,21,43
Korrie,3,40,43
Kyann,43,0,43
Kaithlynn,0,42,42
Kajsa,0,42,42
Karsjen,42,0,42
Kartika,0,42,42
Keje,39,3,42
Khloë,0,42,42
Kyon,37,5,42
Kani,15,26,41
Karma,9,32,41
Katia,0,41,41
Katoo,3,40,43
Kaylah,0,41,41
Khallil,41,0,41
Kimmo,37,3,40
Kiraz,0,41,41
Kiymet,0,41,41
Klaarke,0,41,41
Klamer,41,0,41
Krientje,0,41,41
Krishen,41,0,41
Kunna,0,41,41
Kyrian,40,3,43
Kawthar,0,40,40
Kirsi,0,40,40
Konraad,40,0,40
Krish,39,3,42
Krissie,0,40,40
Kumarie,0,40,40
Katrine,0,39,39
Khai,38,3,41
Kike,3,35,38
Klarinus,39,0,39
Kun,27,12,39
Kah,23,15,38
Kasperdina,0,38,38
Kenn,38,0,38
Koopje,0,38,38
Kuindert,38,0,38
Kuinera,0,38,38
Kaelynn,0,37,37
Kamar,7,30,37
Kareline,3,36,39
Karleen,0,37,37
Karssien,37,0,37
Kautar,0,37,37
Keely,0,37,37
Kid,35,3,38
Kjel,36,3,39
Kornelie,0,37,37
Kallista,0,36,36
Kamille,3,35,38
Karlina,3,35,38
Kayle,23,13,36
Keesjan,36,0,36
Kenjiro,36,0,36
Kenzy,9,27,36
Kezia,3,35,38
Klazes,28,8,36
Kleisje,0,36,36
Knelsina,0,36,36
Krien,33,3,36
Kyron,32,3,35
Kailani,0,35,35
Kaisa,0,35,35
Karsje,0,35,35
Karste,35,0,35
Kempe,35,0,35
Kiera,0,35,35
Koertdina,0,35,35
Krzysztof,35,0,35
Kaelyn,3,32,35
Kan,30,3,33
Kenney,34,0,34
Kirill,33,3,36
Koko,7,27,34
Krieno,34,0,34
Kyrah,0,34,34
Kahraman,33,0,33
Kamilia,0,33,33
Karian,3,32,35
Kathryn,0,33,33
Kayen,31,3,34
Kely,0,33,33
Key,28,5,33
Keyana,0,33,33
Kiani,5,28,33
Kisha,3,31,34
Kodjo,33,0,33
Koenradina,3,31,34
Kunny,0,33,33
Kadiatou,0,32,32
Kaitlynn,0,32,32
Kathlyn,3,31,34
Kauthar,0,32,32
Khatoon,0,32,32
Khoa,32,0,32
Khouloud,0,32,32
Kiyano,32,0,32
Klemens,31,3,34
Klement,32,0,32
Kristiane,0,32,32
Kudret,24,8,32
Kuna,3,31,34
Kunnigje,0,32,32
Kaiya,5,26,31
Karenza,3,29,32
Kia,10,21,31
Kimaya,0,31,31
Knox,30,3,33
Kristopher,31,0,31
Kadija,0,30,30
Kalani,18,12,30
Karoly,20,10,30
Kartal,30,0,30
Kausar,3,28,31
Khatoen,0,30,30
Kinke,0,30,30
Klazientje,0,30,30
Ksenia,0,30,30
Kahlan,3,28,31
Kathrina,3,28,31
Katrijntje,0,29,29
Kawa,28,3,31
Keanan,29,0,29
Kelis,0,29,29
Kesia,3,28,31
Kinge,3,28,31
Kittie,0,29,29
Kristal,0,29,29
Kymo,27,3,30
Kysha,0,29,29
Kae,8,20,28
Kaija,3,26,29
Kamile,3,26,29
Katerine,0,28,28
Kay-Lee,3,27,30
Keng,20,8,28
Keren,5,23,28
Keyla,0,28,28
Kimara,0,28,28
Kirtie,3,27,30
Kody,27,3,30
Krijnie,0,28,28
Krisztina,0,28,28
Kuba,28,0,28
Kuintje,0,28,28
Kwadjo,28,0,28
Kaï,27,0,27
Kali,6,21,27
Kamla,0,27,27
Kareena,0,27,27
Karolijn,0,27,27
Karstina,0,27,27
Käthy,3,26,29
Kayli,0,27,27
Klarien,3,26,29
Knud,27,0,27
Kobi,6,21,27
Krisna,19,8,27
Kadeem,25,3,28
Karly,3,22,25
Karwan,22,3,25
Kayin,23,3,26
Keana,0,26,26
Kelian,21,5,26
Klaasiena,0,26,26
Klarine,0,26,26
Kolja,25,3,28
Kumru,0,26,26
Kundera,0,26,26
Kundert,26,0,26
Kwin,25,3,28
Kyarah,0,26,26
Kadiriye,0,25,25
Karli,9,16,25
Karlin,0,25,25
Kaylian,24,3,27
Kaylynn,0,25,25
Keara,0,25,25
Kemi,3,24,27
Keon,25,0,25
Keven,24,3,27
Kiam,24,3,27
Kiley,16,9,25
Kirankumar,25,0,25
Kiron,19,6,25
Korhan,25,0,25
Kornee,25,0,25
Kos,25,0,25
Kaleigh,0,24,24
Kalista,0,24,24
Karisma,0,24,24
Kashmira,0,24,24
Kassem,20,3,23
Katara,0,24,24
Katey,3,23,26
Katleen,3,23,26
Kayn,24,0,24
Kendal,16,8,24
Kinan,24,0,24
Kirty,3,23,26
Kite,23,3,26
Konstant,23,3,26
Korving,24,0,24
Kuen,14,10,24
Kyanu,23,3,26
Kyell,22,3,25
Kamala,3,22,25
Karelien,0,23,23
Karlein,0,23,23
Karoliena,0,23,23
Katarine,0,23,23
Kathariena,3,22,25
Kati,3,22,25
Katrientje,0,23,23
Kawish,23,0,23
Kazimier,23,0,23
Kenyi,22,3,25
Kiko,15,8,23
Kimia,3,22,25
Kinza,0,23,23
Kivanç,23,0,23
Klarie,0,23,23
Kosse,22,3,25
Kristoff,23,0,23
Kristoffer,23,0,23
Kya,3,22,25
Kye,21,3,24
Kylano,23,0,23
Kamini,0,22,22
Käte,3,20,23
Kâzim,22,0,22
Kellan,20,3,23
Kesley,6,16,22
Ket,16,6,22
Khalifa,17,5,22
Kholoud,0,22,22
Kirtan,21,3,24
Klaas-Willem,22,0,22
Klaasien,3,21,24
Klariska,0,22,22
Kreszentia,0,22,22
Krijno,22,0,22
Kundertje,0,22,22
Kunigunda,0,22,22
Kálmán,21,0,21
Kamlesh,21,0,21
Kanwal,3,19,22
Kanye,21,0,21
Kasperina,0,21,21
Kathelyne,0,21,21
Katina,3,20,23
Katolina,3,20,23
Katrin,0,21,21
Kayal,0,21,21
Kéano,21,0,21
Keaton,21,0,21
Keen,17,3,20
Kersti,0,21,21
Kest,21,0,21
Kevan,20,3,23
Kimon,21,0,21
Kiomy,3,20,23
Kiril,21,0,21
Kishore,19,3,22
Knut,21,0,21
Kolya,21,0,21
Konstantina,0,21,21
Kosta,21,0,21
Kostas,21,0,21
Kourosh,21,0,21
Kuan,11,10,21
Kwang,13,8,21
Kyah,3,19,22
Kyshaira,0,21,21
Kaey,20,0,20
Karas,20,0,20
Kariena,0,20,20
Kariene,0,20,20
Karlos,20,0,20
Karlyn,0,20,20
Kasia,0,20,20
Kaylani,3,19,22
Keelan,18,3,21
Keeley,0,20,20
Kellen,19,3,22
Kelso,19,3,22
Kervin,20,0,20
Ketsia,0,20,20
Ketura,0,20,20
Keylie,3,19,22
Kez,16,3,19
Kimberlie,0,20,20
Kimiya,0,20,20
Kirina,0,20,20
Kishaya,0,20,20
Kjersti,0,20,20
Kjille,3,16,19
Klaasjen,0,20,20
Kore,3,16,19
Korinne,0,20,20
Korstina,0,20,20
Kristijn,15,5,20
Kunigunde,3,19,22
Kusi,15,5,20
Kusuma,12,8,20
Kwun,8,12,20
Kahlen,3,18,21
Kaila,0,19,19
Kaio,19,0,19
Kareshma,0,19,19
Karsiena,0,19,19
Kartinie,0,19,19
Kasandra,0,19,19
Kasja,0,19,19
Kathalijn,0,19,19
Katlijn,0,19,19
Kay-Leigh,0,19,19
Kaylash,19,0,19
Kaylyn,0,19,19
Kealy,0,19,19
Kelechi,10,9,19
Kenay,19,0,19
Kenyon,19,0,19
Kerime,0,19,19
Khadar,18,3,21
Kibar,3,16,19
Kieron,19,0,19
Kima,3,16,19
Kishna,19,0,19
Koon,15,3,18
Kootje,6,13,19
Korneles,19,0,19
Krelis,19,0,19
Kristoffel,19,0,19
Kung,15,3,18
Kaay,18,0,18
Kacem,18,0,18
Kacper,18,0,18
Kaelin,6,12,18
Karani,18,0,18
Karoliene,0,18,18
Kathrin,0,18,18
Katootje,0,18,18
Kavitadevi,0,18,18
Kealan,18,0,18
Keegan,18,0,18
Keiran,18,0,18
Kelcy,3,17,20
Kellin,15,3,18
Kennith,18,0,18
Keye,18,0,18
Khalissa,0,18,18
Kiren,7,11,18
Klarieke,0,18,18
Klaziene,0,18,18
Korijn,16,3,19
Krishnadath,18,0,18
Krister,18,0,18
Kumara,16,3,19
Kunegonde,0,18,18
Kylana,0,18,18
Kyte,18,0,18
Kaate,3,16,19
Kaeden,16,3,19
Kaela,3,16,19
Kaithlin,0,17,17
Kanter,17,0,17
Kapoor,14,3,17
Karoena,0,17,17
Katholina,0,17,17
Keete,0,17,17
Kerry,6,11,17
Khymo,13,3,16
Kiaro,17,0,17
Kino,15,3,18
Kirsha,0,17,17
Klari,0,17,17
Knelsien,0,17,17
Kobie,3,15,18
Kostijn,17,0,17
Kristiana,0,17,17
Kunnechien,0,17,17
Kunnegonda,0,17,17
Kurtuluş,15,3,18
Kwasiba,0,17,17
Kyrano,17,0,17
Kadjel,0,16,16
Kagan,16,0,16
Kahan,16,0,16
Kailen,16,0,16
Kajetan,16,0,16
Kâmile,0,16,16
Kaneesha,0,16,16
Karmin,11,5,16
Kasey,9,7,16
Kathrine,0,16,16
Kaycee,6,10,16
Kaylisha,0,16,16
Keandro,16,0,16
Keita,10,6,16
Kelcey,3,12,15
Keno,16,0,16
Keyshia,0,16,16
Kha,9,7,16
Kheira,0,16,16
Khira,0,16,16
Kiat,12,3,15
Kièro,16,0,16
Kirsa,0,16,16
Koby,3,13,16
Köksal,16,0,16
Korstianus,16,0,16
Krisnadath,16,0,16
Krist,16,0,16
Kristo,16,0,16
Krystina,0,16,16
Kunal,16,0,16
Kylène,0,16,16
Kaân,15,0,15
Kadisha,3,14,17
Kadri,12,3,15
Kailynn,0,15,15
Kais,15,0,15
Kami,7,8,15
Karellina,0,15,15
Karinka,3,13,16
Kathelina,0,15,15
Kelly-Ann,0,15,15
Kem,11,3,14
Kèvin,15,0,15
Khadidja,0,15,15
Khadra,3,14,17
Khawla,0,15,15
Khurram,13,3,16
Kirin,3,11,14
Kirk,15,0,15
Kirolos,15,0,15
Klarijn,0,15,15
Klijs,15,0,15
Koelsoem,0,15,15
Krishnapersad,15,0,15
Krisja,0,15,15
Kym,0,15,15
Kymairo,15,0,15
Kyrsten,0,15,15
Kyvano,15,0,15
Kacey,3,13,16
Kaito,14,0,14
Kajan,12,3,15
Karahan,14,0,14
Karena,0,14,14
Karlie,3,13,16
Karun,14,0,14
Karyn,0,14,14
Kassim,13,3,16
Kathrien,3,13,16
Kavin,10,3,13
Kayahan,14,0,14
Kaylo,14,0,14
Kaylon,12,3,15
Kaysa,0,14,14
Kehlani,0,14,14
Kell,14,0,14
Kemen,14,0,14
Kempes,14,0,14
Kemy,8,6,14
Kenjy,14,0,14
Kensy,7,7,14
Kerewin,3,13,16
Kewita,0,14,14
Khee,7,7,14
Kiesha,0,14,14
Kije,14,0,14
Kil,14,0,14
Kilan,14,0,14
Kimmie,3,13,16
Kinsey,3,12,15
Kirian,13,3,16
Kiro,14,0,14
Kjelld,14,0,14
Klaas-Pieter,14,0,14
Klaris,8,6,14
Klazienus,14,0,14
Kodi,13,3,16
Koemari,0,14,14
Koenrardus,14,0,14
Konradus,14,0,14
Konstandinos,14,0,14
Koutar,0,14,14
Krin,13,3,16
Kristianus,14,0,14
Kweku,13,3,16
Kyenzo,14,0,14
Kyung,6,8,14
Kaarina,0,13,13
Kael,13,0,13
Kaeley,0,13,13
Kahlil,13,0,13
Kalea,0,13,13
Kalil,12,3,15
Kaltoum,0,13,13
Karankumar,13,0,13
Kardo,11,3,14
Kareltje,8,5,13
Karem,13,0,13
Karinne,0,13,13
Karman,8,5,13
Karos,13,0,13
Kasem,12,3,15
Kasım,13,0,13
Kasra,13,0,13
Kassina,3,12,15
Kathalijntje,3,11,14
Kathe,3,12,15
Kawieta,0,13,13
Keagan,13,0,13
Kéan,13,0,13
Keiko,3,11,14
Kelan,12,3,15
Kelby,3,9,12
Keli,3,12,15
Kelsi,3,11,14
Kelwin,13,0,13
Kenisha,0,13,13
Kesha,3,12,15
Keshawn,13,0,13
Keyara,0,13,13
Khing,10,3,13
Khloe,0,13,13
Kijan,13,0,13
Kiky,0,13,13
Kimberlin,0,13,13
Kine,0,13,13
Kismet,3,12,15
Kisna,13,0,13
Kito,13,0,13
Kiyo,10,3,13
Kjelle,10,3,13
Klaassen,13,0,13
Klarisa,0,13,13
Koert-Jan,13,0,13
Korinna,0,13,13
Krino,13,0,13
Kriss,3,11,14
Kristiena,0,13,13
Kunnie,0,13,13
Kuo,10,3,13
Kwami,13,0,13
Kwie,7,6,13
Kymara,0,13,13
Kyriakos,13,0,13
Kytana,0,13,13
Kadirhan,12,0,12
Kadjal,0,12,12
Kaelen,11,3,14
Kaemon,12,0,12
Kaeye,12,0,12
Kaida,3,11,14
Kajo,12,0,12
Kalinda,0,12,12
Kalisha,0,12,12
Kalpana,0,12,12
Karel-Jan,12,0,12
Karn,11,3,14
Karolijne,3,11,14
Karst-Jan,12,0,12
Kaspert,12,0,12
Katariena,0,12,12
Katharien,3,11,14
Kathelyn,0,12,12
Kathlijn,0,12,12
Katinga,0,12,12
Katrijna,0,12,12
Katusha,0,12,12
Kayani,9,3,12
Kayl,12,0,12
Kefas,12,0,12
Kelton,12,0,12
Kenz,12,0,12
Keturah,0,12,12
Keyane,11,3,14
Keyshawn,12,0,12
Khaalid,12,0,12
Khaddouj,0,12,12
Khalida,0,12,12
Khen,12,0,12
Khiem,11,3,14
Khoi,12,0,12
Khyan,12,0,12
Kiany,6,6,12
Kicki,3,11,14
Kila,0,12,12
Kimbely,0,12,12
Kinny,3,10,13
Kion,12,0,12
Kishaira,0,12,12
Kita,3,11,14
Kiyaan,10,3,13
Kjetil,12,0,12
Klarinde,0,12,12
Klasientje,0,12,12
Koertina,0,12,12
Koji,11,3,14
Konstanty,12,0,12
Kour,0,12,12
Kriene,12,0,12
Krishnakumar,9,3,12
Kristiene,0,12,12
Krisztián,12,0,12
Krit,11,3,14
Kuang,10,3,13
Kuiniera,0,12,12
Kumi,5,7,12
Kumsal,0,12,12
Kune,5,7,12
Küpra,0,12,12
Kürsat,12,0,12
Kyei,6,6,12
Kyenno,12,0,12
Kylee,0,12,12
Kyoko,0,12,12
Kyrana,0,12,12
Kyria,0,12,12
Kadem,8,3,11
Kaij,11,0,11
Kail,11,0,11
Kaileigh,0,11,11
Kairo,11,0,11
Kalin,3,7,10
Kamlawatie,0,11,11
Kamuran,6,5,11
Kanoa,9,3,12
Karanina,0,11,11
Kari-Anne,0,11,11
Karinus,11,0,11
Karlheinz,10,3,13
Karym,11,0,11
Katalijne,0,11,11
Katriene,0,11,11
Kawin,8,3,11
Kayleen,0,11,11
Kayro,11,0,11
Kealey,0,11,11
Keani,6,5,11
Keenen,10,3,13
Keja,3,9,12
Kelli,3,8,11
Kenrich,11,0,11
Kenson,11,0,11
Kerstje,0,11,11
Kesi,3,7,10
Kete,0,11,11
Kewin,10,3,13
Khaan,11,0,11
Khalaf,3,7,10
Khalek,11,0,11
Khin,10,3,13
Khong,9,3,12
Khusi,0,11,11
Khyra,0,11,11
Kiandra,0,11,11
Kianna,0,11,11
Kijn,7,3,10
Kiné,0,11,11
Kiowa,3,7,10
Klára,0,11,11
Klarisse,0,11,11
Klary,0,11,11
Klim,10,3,13
Knillis,11,0,11
Kobbe,11,0,11
Kobina,8,3,11
Koerdina,0,11,11
Kolijn,9,3,12
Koot,9,3,12
Korver,8,3,11
Krystal,0,11,11
Kum,8,3,11
Kunnegien,0,11,11
Kunno,11,0,11
Kwamina,11,0,11
Kyoma,3,9,12
Kyoni,7,3,10
Ka-Lok,10,0,10
Kaba,5,5,10
Kadi,3,9,12
Kahina,0,10,10
Kahn,10,0,10
Kailan,8,3,11
Kailee,0,10,10
Kalevi,10,0,10
Kalia,0,10,10
Kalvin,10,0,10
Kamber,10,0,10
Kamilah,0,10,10
Kampe,10,0,10
Kanisha,0,10,10
Karansingh,10,0,10
Karar,10,0,10
Karis,3,7,10
Karolin,0,10,10
Karstiena,0,10,10
Kartik,10,0,10
Kashmir,8,3,11
Kata,0,10,10
Kathie,0,10,10
Katiba,0,10,10
Katri,0,10,10
Kayi,3,9,12
Kayly,0,10,10
Kayran,10,0,10
Kazimiera,0,10,10
Keeke,0,10,10
Kekeli,7,3,10
Kemalettin,10,0,10
Kenly,8,3,11
Kentaro,10,0,10
Keremcan,10,0,10
Kesper,10,0,10
Kewan,10,0,10
Keyani,3,7,10
Keyleigh,0,10,10
Khadim,9,3,12
Khik,5,5,10
Kiaya,3,9,12
Kiliaan,10,0,10
Kiliana,0,10,10
Kim-Lian,0,10,10
Kimberlee,0,10,10
Kiora,3,9,12
Kitt,6,3,9
Kizito,6,3,9
Kliwon,10,0,10
Knelsje,0,10,10
Kobes,10,0,10
Kodyo,10,0,10
Koenrad,10,0,10
Koffi,10,0,10
Kon,9,3,12
Konstanze,0,10,10
Koo,5,5,10
Korinda,0,10,10
Krein,10,0,10
