Name,Men,Women,Total
Giacomo,246,3,249
Geesina,3,244,247
Geertrudus,218,25,243
Gosen,242,3,245
Gerrianne,3,240,243
Gerd,232,7,239
Gerdie,11,228,239
Gyan,233,3,236
Geertjan,234,3,237
Geertrudes,131,101,232
Geraldo,229,3,232
Goos,221,3,224
Germ,223,0,223
Giliam,219,3,222
Germen,220,0,220
Guinevere,3,218,221
Geurdina,0,219,219
Gozewina,3,215,218
Gerdy,12,205,217
Goverina,0,217,217
Guustaaf,214,3,217
Geerlof,214,3,217
Gratia,3,215,218
Gré,5,211,216
Gerbrich,3,213,216
Giano,215,0,215
Goretti,18,197,215
Gisèle,3,210,213
Godert,213,0,213
Gabor,212,0,212
Gottfried,204,8,212
Graham,208,3,211
Gisella,3,208,211
Grytsje,0,208,208
Ghizlan,0,207,207
Gatske,0,205,205
Gertje,20,184,204
Gebina,0,202,202
Gidion,202,0,202
Gilberto,200,3,203
Gülay,3,201,204
Gerie,15,186,201
Geerit,199,3,202
Gommert,199,3,202
Geerke,3,196,199
Geertjen,0,199,199
Gradina,3,196,199
Giancarlo,198,0,198
Gijsbertina,0,196,196
Gene,190,3,193
Genevieve,3,191,194
Georgios,192,0,192
Günter,185,7,192
Gail,3,187,190
Gerbrandus,190,0,190
Getruida,3,188,191
Gerada,3,185,188
Geradus,181,3,184
Gwenny,5,180,185
Geeltje,3,181,184
Gerritjan,182,0,182
Gülcan,0,181,181
Geanne,3,178,181
Gwyneth,3,176,179
Gerk,175,0,175
Gertina,3,173,176
Guillemine,3,169,172
Gaatske,0,167,167
Guiseppe,164,3,167
Guilliano,165,0,165
Gustaf,155,10,165
Gydo,164,0,164
Godeliva,9,154,163
Gérardine,3,160,163
Gözde,0,161,161
Géraldine,0,160,160
Goris,160,0,160
Gabriële,5,153,158
Gudula,3,153,156
Galina,3,154,157
Geartsje,0,155,155
Gery,21,133,154
Gozina,3,153,156
Gaya,7,144,151
Geeke,3,147,150
Gerline,3,150,153
Gerold,151,0,151
Gijsbertine,0,151,151
Geri,21,129,150
Gerton,150,0,150
Geesjen,0,149,149
Gerkje,0,149,149
Gerretje,0,149,149
Gürkan,149,0,149
Gus,143,6,149
Gita,0,148,148
Gioya,3,145,148
Gerardes,143,3,146
Gerrieke,0,146,146
Gudrun,5,141,146
Gerlach,138,7,145
Gerriet,139,6,145
Gerdientje,0,144,144
Goosen,143,3,146
Gouke,131,13,144
Grietus,144,0,144
Gerja,0,143,143
Gineke,3,142,145
Geraldus,138,3,141
Given,100,42,142
Gertruud,15,126,141
Githa,0,141,141
Giulietta,0,141,141
Graciëlla,3,140,143
Ghizlane,0,140,140
Guyon,137,3,140
Geuchien,138,3,141
Gonneke,0,139,139
Grieto,136,3,139
Gerjo,124,14,138
Georgio,136,0,136
Ghatoen,0,136,136
Gezine,3,133,136
Gilda,5,128,133
Geralde,0,132,132
Gerina,3,131,134
Grete,3,131,134
Garrelt,131,0,131
Gijsberthus,131,0,131
Guno,131,0,131
Gennaro,130,0,130
Gilano,130,0,130
Graziella,3,129,132
Gaatze,129,0,129
Grietha,0,129,129
Gerianne,3,125,128
Grethe,3,125,128
Gerdiene,0,125,125
Gerriëtte,0,125,125
Gerrina,3,124,127
Gerty,13,112,125
Guilielmus,119,6,125
Gerhardine,0,124,124
Girbe,124,0,124
Geiske,0,123,123
Giny,3,120,123
Gisbert,121,3,124
Goof,120,3,123
Genaro,120,0,120
Gerritdiena,0,120,120
Gilliano,120,0,120
Gönül,0,120,120
Gatze,119,0,119
Gerberdina,3,116,119
Gia,62,57,119
Gülşah,0,119,119
Guusta,3,118,121
Gerit,118,0,118
Grietien,0,118,118
Gunther,110,8,118
Geneva,0,117,117
Giljam,116,0,116
Geradina,3,113,116
Gerbrigje,0,115,115
Georgie,62,51,113
Gelina,0,112,112
Goitske,0,112,112
Gaspard,107,3,110
Gilbertus,110,3,113
Gustavus,109,3,112
Gizella,3,107,110
Geerd,109,0,109
Geertiena,0,109,109
Gwendolyne,0,109,109
Gerrard,108,0,108
Gwendolina,0,108,108
Gaele,107,0,107
Gaetano,107,0,107
Gianno,107,0,107
Gersom,106,0,106
Giulio,106,0,106
Geesiena,0,105,105
Gilia,3,101,104
Giuseppina,3,104,107
Geraldien,0,104,104
Gesien,0,104,104
Giada,0,104,104
Gies,99,5,104
Geeta,0,103,103
Gerlofke,0,103,103
Gertia,0,103,103
Görkem,90,12,102
Gábor,101,0,101
Gebbina,0,101,101
Gieltje,3,99,102
Gudo,99,3,102
Gazi,99,0,99
Goswin,92,7,99
Gozewinus,99,0,99
Güney,98,3,101
Ganesh,96,3,99
Giovani,95,3,98
Graziëlla,3,96,99
Gurbe,96,3,99
Gottlieb,96,3,99
Gulielmus,91,6,97
Geoffry,93,3,96
Garcia,62,31,93
Gini,3,92,95
Gerrald,92,0,92
Gerrigjen,0,92,92
Giedo,92,0,92
Gökçe,11,81,92
Giliano,91,0,91
Gisele,3,88,91
Goran,90,3,93
Gerdinand,90,0,90
Goffe,90,0,90
Govertje,0,90,90
Geart,88,0,88
Geena,0,88,88
Gill,51,37,88
Graciela,0,88,88
Gyula,85,3,88
Gaitske,0,87,87
Geeuwke,87,0,87
Géke,3,85,88
Gualtherus,87,0,87
Geale,86,0,86
Geertruidus,85,3,88
Gerian,61,25,86
Giani,74,12,86
Guilhelmus,84,3,87
Gülhan,3,83,86
Gerlanda,0,85,85
Guust,84,3,87
Germanus,83,3,86
Garritdina,0,83,83
Geerling,83,0,83
Griffin,83,0,83
Gülşen,0,83,83
