Name,Men,Women,Total
Rudolphina,6,385,391
Rachella,3,381,384
Ritske,368,14,382
Reinard,379,3,382
Rivka,0,379,379
Rolanda,3,374,377
Romijn,251,124,375
Rishi,363,3,366
Rombout,353,11,364
Rembrandt,363,0,363
Rocky,345,18,363
Roxanna,0,360,360
Riek,33,326,359
Riva,44,315,359
Reinoldus,348,3,351
Reinalda,3,346,349
Rommert,347,0,347
Rosalyn,0,347,347
Robertina,3,342,345
Rieke,3,340,343
Roeloffina,0,344,344
Rudolfina,3,341,344
Robrecht,337,3,340
Riekelt,334,0,334
Robbert-Jan,334,0,334
Romain,316,17,333
Romaisa,0,332,332
Rakesh,327,3,330
Rozina,3,325,328
Rosemary,3,327,330
Rubin,308,19,327
Reyhan,45,281,326
Robina,0,326,326
Romaysa,0,325,325
Rieneke,3,321,324
Resa,27,295,322
Redmer,318,3,321
Roshni,3,318,321
Roxana,3,318,321
Roef,315,3,318
Rianna,0,315,315
Rikje,3,307,310
Richella,0,306,306
Rolien,0,306,306
Rimke,22,283,305
Rover,298,6,304
Reyer,302,0,302
Riekje,0,301,301
Roma,28,272,300
Rümeysa,0,300,300
Rosaly,0,299,299
Rodger,293,3,296
Raul,294,0,294
Reino,54,237,291
Roelant,288,3,291
Reinold,287,3,290
Rona,3,284,287
Rivano,286,0,286
Renskje,3,284,287
Rukiye,0,284,284
Riëtte,3,281,284
Ronin,271,12,283
Rodin,262,20,282
Rudmer,280,0,280
Rieka,3,277,280
Rinkje,3,275,278
Recep,275,0,275
Reitze,274,0,274
Robbe,269,3,272
Randall,268,3,271
Rembertus,268,3,271
Richie,263,6,269
Rami,264,3,267
Roelfje,0,268,268
Rex,266,3,269
Ronalda,5,262,267
Reinald,266,0,266
Richenel,260,3,263
Reshma,0,258,258
Randolf,256,0,256
Riemkje,0,256,256
Rae,46,209,255
Rozanne,3,252,255
Rini,147,106,253
Rahman,239,13,252
Rhea,3,249,252
Rowie,10,241,251
Regilio,249,3,252
Roselinde,3,247,250
Remie,224,24,248
Robèrt,246,3,249
Ragna,0,246,246
Raimon,245,3,248
Ruurdtje,3,243,246
Rose-Marie,16,227,243
Rafi,232,10,242
Rajiv,242,0,242
Riekele,240,3,243
Ratna,0,240,240
Riena,0,239,239
Robijn,90,147,237
Rosario,152,85,237
Rafik,236,0,236
Revi,223,12,235
Rémy,226,8,234
Rosalin,3,231,234
Redmar,229,3,232
Rikste,3,230,233
Rosalynn,0,229,229
Rosette,7,222,229
Romanus,223,5,228
Reijertje,0,226,226
Ritesh,223,3,226
Rumeysa,0,225,225
Rayane,216,8,224
Rocus,224,0,224
Raymonde,7,216,223
Rifka,0,222,222
Reinetta,3,219,222
Reinarda,3,218,221
Rosetta,3,217,220
Rena,3,218,221
Reneé,25,192,217
Rohit,217,0,217
Rieks,213,3,216
Rashid,191,23,214
Roxan,7,206,213
Rikus,209,3,212
Relinde,3,207,210
Ross,204,3,207
Reinolda,0,205,205
Renaldus,201,3,204
Riny,78,126,204
Rahma,3,202,205
Rogér,192,10,202
Royce,170,32,202
Redouane,201,0,201
Ramiro,200,0,200
Resi,12,188,200
Riff,195,5,200
Roseline,3,197,200
Rijndert,199,0,199
Rimmer,198,3,201
Rodi,188,11,199
Resul,198,0,198
Roselina,9,189,198
Roely,3,193,196
Rosella,0,197,197
Reinate,0,195,195
Roselie,3,194,197
Ragnhild,0,193,193
Reva,8,185,193
Rolinda,0,193,193
Roline,3,190,193
Reinie,8,182,190
Ragnar,184,5,189
Rijntje,5,184,189
Reinaldus,185,3,188
Reinskje,0,188,188
Ravza,0,187,187
Rafaëla,3,184,187
Romualdus,183,3,186
Rafaela,0,184,184
Raimondo,182,3,185
Rémi,150,34,184
Roelinda,0,184,184
Raya,7,176,183
Reggy,148,35,183
Rudolphine,3,182,185
Rolinka,0,182,182
Riëlle,0,181,181
Ringo,180,3,183
Roanne,3,180,183
Robertine,3,178,181
Ramzi,179,0,179
Romero,178,0,178
Rafaëlla,0,177,177
Rodrigo,177,0,177
Rayhan,158,18,176
Reimer,173,3,176
Rica,3,175,178
Riza,166,10,176
Rufus,176,0,176
Raveena,0,175,175
Reineke,7,168,175
Reinhold,172,3,175
Raaf,167,3,170
Roeli,8,163,171
Reginus,168,3,171
Rikki,15,153,168
Raj,163,3,166
Raja,89,78,167
Reggie,130,37,167
Regillio,166,0,166
Rienkje,0,166,166
Ruurdje,0,166,166
Raymondo,162,3,165
Raymondus,157,7,164
Radha,3,162,165
Roby,39,124,163
Russell,162,3,165
Ruthgerus,161,3,164
Romilda,3,161,164
Rahim,157,3,160
Rashida,0,161,161
Rikst,3,159,162
Riana,0,160,160
Rayaan,135,24,159
Rineke,0,159,159
Robertha,3,157,160
Riekie,6,152,158
Riham,3,156,159
Rozalina,5,153,158
Rui,115,42,157
Rim,79,76,155
Rozetta,3,153,156
Renso,153,0,153
Rookje,0,153,153
Rafaella,0,152,152
Roelandus,149,3,152
Rainer,143,8,151
Rauf,150,3,153
Reind,151,0,151
Rikke,67,83,150
Rayvano,149,0,149
Rubina,0,149,149
Reinhart,146,3,149
Rinie,73,75,148
Reini,11,136,147
Rino,143,3,146
Roëlle,0,147,147
Raymonda,7,139,146
Rennie,20,126,146
Ridvan,146,0,146
Romanie,17,129,146
Rommy,19,126,145
Rosine,3,141,144
Railey,128,16,144
Ranya,0,144,144
Reitse,143,3,146
Renko,144,0,144
Ricardus,138,6,144
Rosali,3,141,144
Raoel,142,0,142
Richel,87,55,142
Rajesh,140,3,143
Rochella,0,141,141
Riv,137,3,140
Ravenna,0,138,138
