Name,Men,Women,Total
Dolinda,3,227,230
Daaf,225,3,228
Darnell,224,3,227
Derrick,226,0,226
Driss,224,3,227
Dané,19,206,225
Dico,222,3,225
Djamila,3,223,226
Djim,219,3,222
Dita,3,217,220
Domenico,215,3,218
Douae,0,215,215
Danley,214,0,214
Dejan,214,0,214
Djay,206,8,214
Dano,213,0,213
Derkjen,3,211,214
Diaz,163,47,210
Damiano,207,3,210
Declan,206,0,206
Demet,0,206,206
Dyanne,3,205,208
Dilâra,0,204,204
Devran,197,3,200
Danica,3,197,200
Dine,41,158,199
Drewes,195,3,198
Delphina,17,178,195
Deacon,194,0,194
Dyan,85,108,193
Derktje,3,191,194
Domingo,184,7,191
Dominiek,104,87,191
Dara,42,148,190
Dirkina,0,189,189
Dalia,0,187,187
Danaé,5,182,187
Diewerke,3,186,189
Denley,186,0,186
Duran,180,6,186
Damion,184,3,187
Day,30,155,185
Dorenda,3,184,187
Danee,3,181,184
Dilay,3,182,185
Dietrich,176,6,182
Duane,182,0,182
Darwin,178,3,181
Dilia,5,174,179
Dimitrios,177,0,177
Dinja,0,176,176
Domenique,74,101,175
Darshan,172,3,175
Davita,3,171,174
Diandra,0,173,173
Daniële,3,168,171
Delana,0,171,171
Derk-Jan,171,0,171
Danja,3,166,169
Diederich,169,3,172
Deepak,167,3,170
Derkien,0,169,169
Donnie,164,5,169
Debie,3,164,167
Dido,29,138,167
Demis,164,3,167
Desireé,6,159,165
Dea,3,163,166
Davine,3,160,163
Dionisia,0,163,163
Date,158,3,161
Debra,3,160,163
Denzell,161,3,164
Destin,160,3,163
Djuna,3,159,162
Danée,3,159,162
Dali,62,98,160
Didem,0,160,160
Diedrich,160,0,160
Dusty,110,50,160
Danker,158,3,161
Deanne,3,158,161
Divya,3,158,161
Doutsen,3,153,156
Desteney,3,155,158
Duy,154,3,157
Dee,28,126,154
Dievertje,0,154,154
Dionijsius,153,3,156
Dyonisius,146,8,154
Demir,148,3,151
Donya,0,150,150
Dijnphna,3,148,151
Dammis,148,0,148
Dorieke,0,148,148
Doron,113,35,148
Detlef,142,5,147
Dexx,145,3,148
Dim,146,0,146
Dillon,145,0,145
Duc,142,3,145
Doenja,0,144,144
Divine,44,99,143
Dominik,138,5,143
Dia,12,130,142
Dedde,109,32,141
Davinia,0,140,140
Dio,130,10,140
Dolfina,0,140,140
Daria,6,133,139
