Name,Men,Women,Total
Bartelina,3,162,165
Benji,162,3,165
Berbera,0,165,165
Banu,3,163,166
Benja,132,32,164
Brugt,164,0,164
Bernie,134,28,162
Béatrice,3,158,161
Benjamina,0,160,160
Brianna,0,160,160
Bastien,154,3,157
Bedirhan,158,0,158
Berrie,147,11,158
Bloeme,0,157,157
Bertien,20,136,156
Blue,51,104,155
Bindert,153,0,153
Brain,153,0,153
Bengt,148,3,151
Bojoura,0,149,149
Bouktje,0,149,149
Brad,148,3,151
Beerd,148,0,148
Bernt,148,0,148
Bernardien,3,143,146
Bibiane,3,146,149
Brant,147,0,147
Bibiche,0,145,145
Bartholomeüs,142,3,145
Baudina,0,143,143
Bertje,40,103,143
Birthe,3,141,144
Boyan,142,3,145
Berendiena,0,142,142
Baris,141,0,141
Béla,131,9,140
Baruch,135,3,138
Bertjan,138,0,138
Bliss,5,133,138
Birte,0,137,137
Buket,0,136,136
Barış,135,0,135
Bokke,134,0,134
Basten,131,0,131
Bouko,131,0,131
Bastienne,0,128,128
Berthilde,0,128,128
Berto,126,3,129
Bojan,128,0,128
Brady,124,3,127
Brittney,0,128,128
Batu,126,0,126
Balder,125,0,125
Bartholina,5,119,124
Berend-Jan,123,0,123
Berenice,0,122,122
Bintje,3,121,124
Brayden,121,3,124
Barrie,112,9,121
Blasius,110,11,121
Barnabas,119,3,122
Batje,3,119,122
Berthil,116,3,119
Berty,32,88,120
Bavonia,0,119,119
Bastiënne,3,117,120
Bernadien,3,117,120
Brendon,118,0,118
Bin,102,15,117
Bowe,116,3,119
Burçin,6,111,117
Babeth,0,116,116
Blessing,24,92,116
Babiche,3,112,115
Biem,113,0,113
Boran,113,0,113
Bowi,39,74,113
Bryant,112,0,112
Bouchien,0,111,111
Berdinus,110,0,110
Baki,109,0,109
Bartjan,107,0,107
Btissame,0,107,107
Bill,105,3,108
Brenn,104,3,107
Bashir,74,31,105
Buck,104,3,107
Bartho,103,3,106
Blandina,7,97,104
Begüm,0,101,101
Benoît,97,3,100
Berkant,101,0,101
Bernou,8,93,101
Beth,3,98,101
Bonefacius,97,3,100
Bartolomeus,96,3,99
Berivan,0,100,100
Bernadus,100,0,100
Bijou,0,99,99
Brynn,23,76,99
Berbel,3,97,100
Barber,28,68,96
Beene,96,0,96
Beno,96,0,96
Boutaina,0,96,96
Bouwke,20,76,96
Boyke,94,3,97
Burgje,0,96,96
Blazina,0,95,95
Bort,95,0,95
Bracha,3,94,97
Brennan,94,3,97
Belén,3,92,95
Beligje,0,93,93
Barth,92,0,92
Bastijn,92,0,92
Berte,3,90,93
Bronno,91,3,94
Bertwin,91,0,91
Baaltje,0,90,90
Basil,85,5,90
Bate,87,3,90
Betske,0,90,90
Branca,3,89,92
Beerend,89,0,89
Beyzanur,0,89,89
Bouwiena,0,89,89
Bastina,0,88,88
Bregt,21,67,88
Brita,3,87,90
Benoit,85,3,88
Bibianne,0,86,86
Biense,86,0,86
Biko,85,3,88
Bilge,8,78,86
Brigita,3,83,86
Brody,83,3,86
Benice,0,85,85
Berthine,3,83,86
Blaas,84,0,84
Bowy,62,22,84
Busra,0,84,84
Beatriz,0,83,83
Bela,46,37,83
Bento,81,3,84
Brianne,0,82,82
Baer,81,0,81
Bogdan,81,0,81
Bonna,0,81,81
Berny,65,15,80
Birgül,0,79,79
Birk,77,3,80
Bartine,0,78,78
Berendinus,78,0,78
Berjan,78,0,78
Borgert,77,0,77
Bartelt,76,0,76
Bina,3,75,78
Binh,57,19,76
Blijke,3,75,78
Brigitha,3,74,77
Bathseba,0,75,75
Beerdje,0,75,75
Bern,73,3,76
Berno,74,3,77
Beschier,75,0,75
Boye,74,3,77
Bruun,68,7,75
Barthel,74,0,74
Bendert,74,0,74
Berdan,73,3,76
Bernardes,72,3,75
Betul,0,74,74
Beytullah,74,0,74
Brayn,74,0,74
Bren,72,3,75
Brendy,7,67,74
Buğra,73,3,76
Belgin,0,73,73
Berti,28,45,73
Bieuwkje,0,73,73
Boi,66,7,73
Bartu,72,0,72
Benedikte,0,72,72
Berrin,3,71,74
Bodien,3,71,74
Bosse,72,0,72
Bouwien,0,72,72
Brando,72,0,72
Benigna,3,68,71
Bennet,69,3,72
Bets,8,63,71
Berndine,0,70,70
Beyoncé,0,70,70
Brenden,69,3,72
Besseltje,0,69,69
Beverly,0,69,69
Baldina,0,68,68
Bonefatius,67,3,70
Brunetta,0,68,68
Baan,65,3,68
Bahadir,67,0,67
Brunette,0,67,67
Burgina,0,67,67
Baatje,0,66,66
Balten,64,3,67
Benjahmin,66,0,66
Berendtje,0,66,66
Bernedina,3,65,68
Binnert,66,0,66
Beeltje,0,65,65
Birsen,0,65,65
Blandine,9,56,65
Borromeus,64,3,67
Baartje,3,63,66
Benjamino,61,3,64
Beren,16,48,64
Berent,64,0,64
Bien,6,58,64
Boateng,48,16,64
Botte,64,0,64
Boudewijna,0,64,64
Bouwinus,64,0,64
Bardo,62,3,65
Barendine,0,63,63
Botje,6,57,63
Baukjen,0,62,62
Berentje,0,62,62
Bianco,60,3,63
Bjarn,62,0,62
Brandt,62,0,62
Bernharda,0,61,61
Boudine,0,61,61
Brigetta,0,61,61
Büsra,0,61,61
Bertran,60,0,60
Brayen,60,0,60
Başak,0,58,58
Bedia,0,58,58
Benk,58,0,58
Berndien,0,58,58
Bindi,3,57,60
Birgitt,0,58,58
Bouwine,0,58,58
Beeuwkje,0,57,57
Berthy,3,53,56
Blondina,9,48,57
Bodie,45,12,57
Balou,3,52,55
Bärbel,3,55,58
Batool,0,56,56
Battista,48,8,56
Benicio,56,0,56
Binc,56,0,56
Brice,52,3,55
Bachir,55,0,55
Bertan,55,0,55
Bertold,55,0,55
Bess,3,54,57
Bondina,0,55,55
Brenna,0,55,55
Baldwin,54,0,54
Baptistus,53,3,56
Barney,53,3,56
Barto,52,3,55
Bernarde,3,51,54
Binta,0,54,54
Birol,54,0,54
Boelina,0,54,54
Bran,52,3,55
Branda,0,54,54
Barbalina,0,53,53
Barbertje,0,53,53
Beike,3,49,52
Bennett,51,3,54
Berith,3,52,55
Bernardetta,0,53,53
Bertin,45,8,53
Bodile,0,53,53
Basje,32,20,52
Beda,24,28,52
Bernedine,0,52,52
Biek,47,5,52
Bouchiena,0,52,52
Batseba,3,50,53
Beatus,49,3,52
Benignus,45,6,51
Bradly,50,3,53
Bret,48,3,51
Basilia,3,48,51
Bastiane,0,50,50
Bastianne,3,49,52
Bastin,49,3,52
Berdiena,3,48,51
Bertho,47,3,50
Beyhan,10,40,50
Bhartie,3,49,52
Btissam,0,50,50
Bastiën,45,3,48
Bauwina,0,49,49
Bayan,7,42,49
Belina,0,49,49
Broes,49,0,49
Burt,49,0,49
Benedikt,45,3,48
Benz,45,3,48
Berre,20,28,48
Blossom,0,48,48
Bodo,47,3,50
Bonifacia,3,45,48
Brighid,0,48,48
Bence,47,0,47
Benjamine,9,38,47
Berndt,47,0,47
Bhodi,39,8,47
Borg,42,5,47
Bader,45,3,48
Bartelomeus,45,3,48
Béate,0,46,46
Beleke,0,46,46
Bendt,46,0,46
Berbertje,0,46,46
Boakye,27,19,46
Brandje,9,37,46
Bruna,0,46,46
Bud,46,0,46
Buğlem,0,46,46
Barteldina,0,45,45
Benni,44,3,47
Bernadeth,3,44,47
Betina,3,44,47
Branka,0,45,45
Bryanna,0,45,45
Bryn,38,7,45
Beja,0,44,44
Belal,43,3,46
ben,40,3,43
Berenda,0,44,44
Berlinde,0,44,44
Bojana,0,44,44
Boukelina,0,44,44
Briana,0,44,44
Bryony,3,42,45
Barthelina,3,42,45
Bartholemeus,42,3,45
Bera,37,6,43
Bernulphus,43,0,43
Bertilia,3,42,45
Bharti,0,43,43
Bich,0,43,43
Bushra,3,42,45
Bahri,42,0,42
Battal,42,0,42
Begum,3,41,44
Benson,41,3,44
Bija,0,42,42
Birke,0,42,42
Boudien,0,42,42
Brechtsje,0,42,42
Brendina,0,42,42
Brooklynn,3,39,42
Barberdina,0,41,41
Berni,25,16,41
Bertel,35,6,41
Berthilda,0,41,41
Bharat,41,0,41
Bia,0,41,41
Billal,41,0,41
Bircan,11,30,41
Brooke,3,40,43
Barbaros,40,0,40
Bengisu,0,40,40
Bennardus,39,3,42
Beril,3,37,40
Birger,39,3,42
Blake,35,5,40
Bano,3,36,39
Basri,36,3,39
Belinde,0,39,39
Bénédicte,3,38,41
Bernita,0,39,39
Berth,35,3,38
Bickel,38,3,41
Biena,0,39,39
Bijke,3,38,41
Bloom,3,36,39
Boelem,39,0,39
Bouk,30,9,39
Brinn,9,30,39
Bulent,39,0,39
Behiye,0,38,38
Bèr,36,3,39
Biba,0,38,38
Björk,3,34,37
Blom,6,32,38
Bruni,3,34,37
Babbe,0,37,37
Barthus,37,0,37
Baudewijn,37,0,37
Bear,34,3,37
Benvenuto,37,0,37
Benyamine,37,0,37
Bonnette,0,37,37
Bryson,37,0,37
Baltasar,36,0,36
Bartholomëus,36,0,36
Bartold,36,0,36
Benaja,34,3,37
Benvenuta,0,36,36
Besselina,0,36,36
Bieuwke,0,36,36
Blanka,0,36,36
Bottje,0,36,36
Bartinus,35,0,35
Bartolomeüs,34,3,37
Bavius,35,0,35
Becky,0,35,35
Beniamino,35,0,35
Benoni,33,3,36
Bernardino,34,3,37
Bieneke,0,35,35
Bodhy,30,5,35
Brigith,0,35,35
Bronislaw,34,3,37
Bruinis,34,3,37
Bulut,35,0,35
Bade,0,34,34
Baudien,0,34,34
Bauk,12,22,34
Belma,0,34,34
Benardus,34,0,34
Bénine,0,34,34
Berin,3,30,33
Bernardi,7,27,34
Besma,0,34,34
Bettje,0,34,34
Boukina,0,34,34
Bregitte,3,33,36
Badia,0,33,33
Badria,0,33,33
Bam,32,3,35
Bartholomé,32,3,35
Bastine,3,32,35
Bellinda,3,32,35
Benjo,33,0,33
Bensu,0,33,33
Berrit,5,28,33
Berzan,33,0,33
Binq,33,0,33
Boreas,33,0,33
Bouwdewijn,33,0,33
Brayan,32,3,35
Brigittha,0,33,33
Bay,14,18,32
Berinda,0,32,32
Bethany,0,32,32
Bilaal,32,0,32
Binke,19,13,32
Bon,28,3,31
Booy,32,0,32
Briggitte,0,32,32
Brigiet,0,32,32
Brigite,3,31,34
Bronislawa,3,29,32
Burton,31,3,34
Bahtiyar,28,3,31
Banoe,0,31,31
Barbarina,3,28,31
Barendje,0,31,31
Barthe,3,27,30
Bebel,0,31,31
Beint,31,0,31
Benine,0,31,31
Berlina,3,30,33
