Name,Men,Women,Total
Umadevi,0,3,3
Umairah,0,3,3
Umaymah,0,3,3
Umed,3,0,3
Umeyir,3,0,3
Umeyma,0,3,3
Umniyah,0,3,3
Unaysah,0,3,3
Uneke,3,3,6
Unisa,3,3,6
Unise,0,3,3
Unno,3,0,3
Untung,3,3,6
Upadhia,3,0,3
Upt,3,0,3
Urbaine,3,3,6
Urbania,0,3,3
Urbanis,3,0,3
Urben,3,0,3
Urdice,0,3,3
Urian,3,0,3
Urica,0,3,3
Uriella,0,3,3
Urjan,3,0,3
Urley,3,3,6
Urmea,0,3,3
Urmi,0,3,3
Urmiladebie,0,3,3
Urooj,3,3,6
Ursa,3,3,6
Ursi,3,3,6
Usain,3,0,3
Uscha,3,3,6
Usiena,0,3,3
Usina,0,3,3
Usra,0,3,3
Utami,0,3,3
Uttam,3,0,3
Uunko,3,0,3
Uupke,0,3,3
Uwaese,3,3,6
Uwaldus,3,0,3
Uyiekpen,3,3,6
Uziël,3,0,3
Uzoamaka,3,3,6
Uasima,0,3,3
Ubay,3,0,3
Ubaydullah,3,0,3
Ubayy,3,0,3
Ubeline,0,3,3
Ubeyt,3,0,3
Uck,0,3,3
Uddo,3,0,3
Ude,3,0,3
Udina,0,3,3
Udomina,0,3,3
Uelke,3,0,3
Uffe,3,0,3
Ugene,3,0,3
Ugiagbe,3,3,6
Ugoeze,3,3,6
Uĝurcan,3,0,3
Uichen,3,0,3
Uiliena,0,3,3
Uilkiena,0,3,3
Uka,0,3,3
Ulaane,3,3,6
Ulan,3,3,6
Ulbania,0,3,3
Ulbedina,0,3,3
Ulbes,3,3,6
Ulbina,0,3,3
Ulca,0,3,3
Ule,3,0,3
Ulka,3,3,6
Ulkina,0,3,3
Ulla-Britt,0,3,3
Ullaha,3,0,3
Ullembina,0,3,3
Ulrico,3,0,3
Ultus,3,0,3
Ulubat,3,0,3
Uluç,3,0,3
Ulya,0,3,3
Uman,3,3,6
Umaru,3,3,6
Umayra,0,3,3
Umayyah,0,3,3
Ume,0,3,3
Umeer,3,0,3
Umeyra,0,3,3
Umro,3,0,3
Umuhoza,0,3,3
Unays,3,0,3
Unit,0,3,3
Unita,0,3,3
Unni,3,3,6
Unsal,3,0,3
Ura,3,3,6
Uranie,3,3,6
Urbin,3,0,3
Urdise,0,3,3
Urel,3,0,3
Urena,3,3,6
Urfin,3,0,3
Uriëlla,0,3,3
Urika,0,3,3
Urita,0,3,3
Urlien,0,3,3
Urnie,3,0,3
Urseline,0,3,3
Urwa,0,3,3
Urzina,0,3,3
Usaid,3,0,3
Usher,3,0,3
Ushuaia,3,3,6
Ustina,0,3,3
Uthmaan,3,0,3
Utie,0,3,3
Utopia,0,3,3
Uulko,3,0,3
Uupko,3,0,3
Uut,0,3,3
Uxía,0,3,3
Uyioghosa,3,3,6
Uysal,3,0,3
Uzzia,3,3,6
Uzziël,3,3,6
U-Roy,3,0,3
Uahiba,0,3,3
Uasim,3,0,3
Ubavka,0,3,3
Ubax,0,3,3
Ubayda,3,0,3
Ubeldina,0,3,3
Ubelenes,3,0,3
Uberta,0,3,3
Ubi,3,3,6
Ubold,3,0,3
Uboldus,3,0,3
Ucha,3,3,6
Uchiha,3,0,3
Uda,0,3,3
Udardus,3,0,3
Udeline,0,3,3
Udeze,3,3,6
Udiena,0,3,3
Udjen,3,3,6
Udocus,3,0,3
Udoka,3,3,6
Udraj,3,0,3
Udritcha,0,3,3
Uduak,3,3,6
Uduji,3,3,6
Udy,0,3,3
Ueli,3,3,6
Ufoma,3,3,6
Ugbaad,0,3,3
Ugbogbo,3,0,3
Ugène,3,0,3
Ugenia,0,3,3
Uglješa,3,0,3
Ugonma,0,3,3
Ugurkan,3,0,3
Ugurtan,3,0,3
Uhuru,3,0,3
Uidad,0,3,3
Uilkes,3,0,3
Uilleam,3,0,3
Uitje,3,0,3
Ujala,0,3,3
Ujunwa,0,3,3
Ukachi,0,3,3
Ukaegbu,3,0,3
Ukë,3,0,3
Ukke,0,3,3
Ukkie,0,3,3
Ukofiök,3,0,3
Ulaan,3,3,6
Ulalia,0,3,3
Ulani,0,3,3
Ulbertine,0,3,3
Ulbine,0,3,3
Ulbrecht,3,0,3
Ulda,0,3,3
Uldarica,0,3,3
Uldericus,3,0,3
Uldiceny,0,3,3
Uldine,0,3,3
Uleke,3,0,3
Ulferda,0,3,3
Ulferts,3,0,3
Ulfia,0,3,3
Ulfrida,0,3,3
Ulfridus,3,0,3
Ulia,0,3,3
Ulie,3,3,6
Ulikje,0,3,3
Ulinde,0,3,3
Ulis,3,0,3
Ulisses,3,0,3
Ulkes,3,0,3
Ully,3,3,6
Ullyses,3,0,3
Uloma,0,3,3
Ulpho,3,0,3
Ulpiana,0,3,3
Ulricht,3,0,3
Ulrique,0,3,3
Ultje,3,0,3
Ultra,0,3,3
