Name,Men,Women,Total
Arnaud,853,6,859
Alessandro,849,3,852
Afina,0,844,844
Annemarieke,0,844,844
Armin,837,7,844
Ariena,0,822,822
Auguste,232,590,822
Aäron,821,0,821
Anneliese,17,792,809
Annechiena,0,807,807
Ashwin,800,3,803
Arwen,46,753,799
Ale,789,5,794
Ana,3,786,789
Anette,6,781,787
Annelieke,0,781,781
Aleid,255,518,773
Annemaria,54,719,773
Aranka,3,771,774
Adèle,25,740,765
Aaltjen,3,763,766
Ava,3,752,755
Anwar,720,34,754
Aly,53,698,751
Alfonsius,712,26,738
Amar,706,28,734
Annita,11,721,732
Annegien,3,726,729
Arentje,0,701,701
Aziz,671,26,697
Alphonse,547,148,695
Arvid,692,3,695
Ambrosius,650,23,673
Aileen,3,670,673
Anne-Fleur,0,670,670
Alexia,3,667,670
Annelot,0,666,666
Ary,655,6,661
Annamaria,37,621,658
Aplonia,3,653,656
Ahmad,604,47,651
Alexandrina,5,646,651
Atze,648,3,651
Aïsha,0,647,647
Alejandro,644,0,644
Anouska,3,628,631
Aryan,624,5,629
Agnita,3,623,626
Alfonsa,9,603,612
Adem,599,3,602
Aloys,562,41,603
Aren,596,5,601
Anas,599,3,602
Alana,3,598,601
Alide,5,593,598
Amani,53,545,598
Aaldrik,594,0,594
Adrianne,3,593,596
Alieke,0,591,591
Amarins,0,591,591
Anouck,3,573,576
Anjo,379,193,572
Allan,559,6,565
Adelbertus,558,3,561
Anthonij,557,3,560
Antoin,541,14,555
Abdul,538,16,554
Anaïs,3,550,553
Annelotte,0,554,554
Arwin,540,6,546
Alies,3,540,543
Aïcha,3,539,542
Ariënne,0,536,536
Angenieta,0,535,535
Aram,519,10,529
Anoeska,0,525,525
Aicha,3,520,523
Alper,520,3,523
Ard,519,3,522
Annemie,58,460,518
Albertien,15,500,515
Akram,510,3,513
Armanda,3,501,504
Asmae,0,502,502
Avinash,502,0,502
Adeline,3,496,499
Atje,3,492,495
Ageeth,3,490,493
Anthonetta,3,487,490
Aaltina,3,487,490
Ayse,15,473,488
Aldo,485,3,488
Aaltien,0,482,482
Asya,0,475,475
Aantje,3,472,475
Aschwin,474,0,474
Assia,0,470,470
Anko,465,3,468
Annebel,0,462,462
Augustine,28,434,462
Alois,437,22,459
Anne-Sophie,0,456,456
Arzu,0,456,456
Abby,7,448,455
Alexandre,414,39,453
Anisha,0,452,452
Atilla,441,9,450
Auktje,0,450,450
Angie,11,437,448
Abdellah,445,3,448
Andrina,7,439,446
Annelien,3,445,448
Angelika,13,431,444
Ane,430,12,442
Alfredo,436,5,441
Arjanne,3,440,443
Aike,354,86,440
Annefleur,0,435,435
Attje,3,427,430
Adriano,427,3,430
Annemarijn,0,428,428
Arman,424,3,427
Aras,423,3,426
Adnan,394,30,424
Anthon,419,3,422
Antina,3,419,422
Alien,3,416,419
Anuschka,3,418,421
Annechina,0,414,414
Arif,407,7,414
Alfonso,400,13,413
Ayrton,409,3,412
Amara,17,393,410
Anisa,0,410,410
Agathe,5,404,409
Adelbert,398,10,408
Areke,3,407,410
Adolph,401,6,407
Adolphina,3,405,408
Andres,405,0,405
Agneta,9,394,403
Arigje,0,403,403
Aarnout,401,0,401
Anne-Maria,24,376,400
Albartus,397,0,397
Amaya,3,396,399
Antal,365,32,397
Anand,395,3,398
Aernout,392,3,395
Aydin,387,3,390
Aagtje,0,390,390
Abdel,365,25,390
Arenda,0,387,387
Avalon,36,351,387
Anil,382,3,385
Alwine,6,373,379
Artje,3,375,378
Alje,377,3,380
Alvin,377,3,380
Anh,179,199,378
Arnoldine,3,375,378
Annique,5,370,375
Arjun,375,0,375
Arida,3,369,372
Agnetha,14,353,367
Ariëtte,0,366,366
Aliyah,3,361,364
Alessandra,3,361,364
Alyda,3,361,364
Almar,350,9,359
Ahlam,0,357,357
Alessio,353,3,356
Alexius,349,3,352
Alperen,351,0,351
Antonet,14,337,351
Andréa,3,345,348
Annerieke,0,343,343
Allison,6,336,342
Ank,11,329,340
Ankje,0,340,340
Ariadne,3,336,339
Abdelilah,331,3,334
Anjali,0,332,332
Akash,330,0,330
Angelien,7,323,330
Ayhan,325,5,330
Arien,252,77,329
Avery,187,141,328
Akif,327,0,327
Albrecht,323,3,326
Angélica,3,324,327
Abigaïl,3,322,325
Amarens,8,316,324
Antonij,319,3,322
Abigaël,7,314,321
Ananda,68,253,321
Ashraf,275,45,320
Adele,9,310,319
Anco,313,3,316
Anne-Wil,0,315,315
Abdi,204,110,314
Alexa,3,312,315
Anuradha,0,314,314
Aad,309,3,312
Ariëlle,0,312,312
Adelina,3,306,309
Adolfina,3,309,312
Alison,13,297,310
Anis,305,5,310
Annabella,3,309,312
Asha,3,306,309
Alphonsina,7,301,308
Annamarie,5,303,308
Antwan,301,6,307
Asmara,3,304,307
Aimé,233,72,305
Arja,9,296,305
Akshay,301,3,304
Anoushka,3,302,305
Agnieta,3,299,302
Aimy,3,297,300
Alessia,3,298,301
Aleidus,294,3,297
Andrée,22,275,297
Alise,0,296,296
Alena,3,293,296
Aida,3,293,296
Appolonia,11,283,294
Art,291,3,294
Anthoni,283,9,292
Adolphus,288,3,291
Anastacia,3,288,291
Ajay,286,0,286
Amandus,281,3,284
Adolphine,3,282,285
Augustijn,282,3,285
Ashanti,6,277,283
Arris,275,6,281
Aswin,279,3,282
Ayesha,3,280,283
Anselmus,272,8,280
Alberdine,0,278,278
Aman,260,18,278
Aarnoud,276,0,276
Ariaan,261,14,275
Andréas,270,3,273
Andreus,263,6,269
Ayaz,266,3,269
Armaan,267,0,267
Abelina,0,266,266
Aïmane,266,0,266
Abdelkarim,263,3,266
Annelise,3,263,266
Anthoinette,3,264,267
Abderrahman,262,3,265
Albert-Jan,263,0,263
Alegonda,10,253,263
Annuska,0,261,261
Alke,22,238,260
Alexandro,259,0,259
Alycia,0,258,258
Abdurrahman,254,3,257
Altagracia,6,246,252
Aurélie,0,252,252
Aziza,3,251,254
Aalbertus,250,3,253
Allert,251,0,251
Amel,108,143,251
Alyssia,0,250,250
Anneleen,3,249,252
Aaffien,0,248,248
Alinde,0,246,246
Arya,78,168,246
Adrianes,240,5,245
Abdessamad,244,0,244
Afien,3,242,245
Agaath,3,239,242
Alardus,241,3,244
Annelore,0,243,243
Aster,7,236,243
Antonina,3,240,243
Annelize,3,238,241
Alewijn,239,0,239
Asli,0,237,237
Abeltje,3,232,235
Aegidius,230,6,236
Alphonsine,3,235,238
Anne-Claire,3,234,237
Amos,234,3,237
Andor,235,0,235
Adeleida,13,221,234
Adela,18,215,233
Alysia,0,233,233
Aloisia,3,229,232
Ancilla,3,227,230
Antheunis,229,3,232
Aurelius,228,3,231
Aïda,3,228,231
Anne-Roos,0,229,229
Ari,189,40,229
Aliza,0,228,228
Addy,132,95,227
Alp,227,0,227
Angenietje,0,227,227
Aymen,223,3,226
Ayşegül,0,227,227
Abbas,210,16,226
Abele,226,0,226
Angelino,222,3,225
Antoinnette,3,222,225
Alieda,3,224,227
Atakan,224,0,224
Achilles,205,18,223
Angelie,3,219,222
Arco,220,3,223
Anders,220,0,220
Anselma,5,215,220
Abramina,0,219,219
Amke,0,218,218
Anka,3,212,215
Abderrahim,214,0,214
Aditya,209,3,212
Aynur,3,212,215
Aiko,177,35,212
Ashna,3,209,212
Aurelio,211,3,214
Afiena,0,210,210
Ayana,0,210,210
Abdelaziz,198,11,209
Adrien,197,12,209
Algonda,5,204,209
Anetta,5,203,208
Aloysa,3,204,207
Albertdina,0,206,206
Aysel,0,206,206
Aize,205,0,205
Anneliesje,0,205,205
Anastatia,3,203,206
Annemarije,0,204,204
Arine,0,203,203
Adnane,202,0,202
Ammar,193,9,202
Asselina,0,200,200
Alysa,0,199,199
Alejandra,0,198,198
Alberdiena,3,195,198
Aloijsia,0,196,196
Angéla,0,195,195
Anish,194,3,197
Aleksander,194,0,194
Anthonette,0,194,194
Alba,3,192,195
Anneroos,0,191,191
Arieke,0,191,191
Aleksandra,3,189,192
Anthonina,0,189,189
Antsje,0,189,189
Anne-Marije,0,188,188
Atte,185,3,188
Ayaan,147,41,188
Ayah,0,188,188
Amadeus,185,3,188
Annegina,0,187,187
Abdirahman,139,47,186
Annebelle,0,186,186
Audry,6,180,186
Albertinus,184,3,187
Almira,3,184,187
Alwina,3,183,186
Arianna,0,185,185
Agnès,6,177,183
Aleksandar,183,0,183
Aliya,3,182,185
Amerik,183,0,183
Annelin,0,183,183
Arend-Jan,183,0,183
Açelya,0,181,181
Alize,0,181,181
Anneli,3,180,183
Alita,3,179,182
Alouis,160,20,180
Ace,171,8,179
Arienne,0,179,179
Alexandria,3,174,177
Ariël,61,115,176
Attila,172,3,175
Anna-Marie,8,167,175
Aran,175,0,175
Arjuna,158,17,175
Annebeth,0,174,174
Annejet,0,174,174
Archana,0,174,174
Arjo,171,3,174
Alagonda,8,165,173
Altan,171,3,174
Anouchka,0,173,173
Abdullahi,114,58,172
Anne-Lotte,0,171,171
Asiya,3,170,173
Alberdien,0,170,170
Alda,16,154,170
Amisha,0,170,170
Andriesje,3,168,171
Ariea,0,170,170
Alparslan,169,0,169
Annelinde,0,169,169
Anske,126,43,169
Arun,167,3,170
Arvind,169,0,169
Aysun,3,168,171
Azad,161,8,169
Akin,168,0,168
Angelus,165,3,168
Alix,36,130,166
Alouisia,3,163,166
Anne-Mieke,0,165,165
Annelijn,0,165,165
Anthoon,165,0,165
Aries,163,3,166
Austin,159,6,165
Alidus,164,0,164
Aruna,9,155,164
Anthonio,163,0,163
Abdulkadir,126,36,162
Alara,0,162,162
Amé,14,148,162
Abdoel,161,0,161
Abrahamina,0,161,161
Alberte,0,161,161
Allart,161,0,161
Aaltiena,0,160,160
Allardus,160,0,160
Anne-Lynn,0,160,160
Ayşenur,0,160,160
Abra,0,159,159
Amrish,157,3,160
Arjaantje,0,159,159
Atie,3,157,160
Albarta,0,157,157
Alexandros,157,0,157
Ambrosia,3,155,158
Anthea,3,153,156
Arvin,156,0,156
Allen,147,8,155
Annalies,3,153,156
Agina,0,153,153
Alia,6,147,153
Abdallah,139,13,152
Anuska,0,152,152
Alexandrine,3,149,152
Amit,145,6,151
Abdelmajid,150,0,150
Amaru,148,3,151
Aarti,3,148,151
Andriena,0,149,149
Arisje,0,149,149
Allegondus,148,0,148
Alberthus,147,0,147
Asia,3,143,146
Augusto,142,5,147
Anne-Marieke,0,146,146
Alja,3,144,147
Arjenne,3,144,147
Aslı,0,145,145
Aemilius,142,3,145
Alfonsina,3,143,146
Annieke,0,144,144
Artur,141,3,144
Abdelkader,140,3,143
Aldegondis,88,55,143
Adelgonda,8,134,142
Alianne,0,142,142
Annewil,3,140,143
Asher,139,3,142
Ayleen,0,142,142
Abbey,3,138,141
Adina,3,138,141
Arturo,140,0,140
Achmed,136,3,139
Alko,139,0,139
Amon,130,9,139
Anoesjka,3,137,140
Akira,73,65,138
Almina,0,138,138
Annely,0,138,138
Annerie,5,133,138
Abdelhakim,135,3,138
Arita,0,137,137
Aymane,137,0,137
Abdelhak,136,0,136
Annegreet,0,136,136
Ashton,99,37,136
Alvaro,135,0,135
Asena,0,135,135
Aslan,134,3,137
Aydan,77,58,135
Aldagonda,20,114,134
Annelou,3,133,136
Alet,7,126,133
Alya,3,132,135
Anni,5,128,133
Arabella,3,132,135
Aant,132,0,132
Aldwin,132,0,132
Aliene,3,130,133
Angeliek,3,131,134
Alae,22,109,131
Almer,130,3,133
Angeli,5,126,131
Aradhana,3,128,131
Amrita,0,130,130
Ata,129,3,132
Aysha,0,130,130
Aan,128,3,131
Azzeddine,129,0,129
Alouisa,3,126,129
Andra,3,126,129
Annastasia,3,125,128
Arsenio,126,3,129
Asaf,128,0,128
Annalisa,0,127,127
Antonino,121,6,127
Arlene,3,126,129
Aaf,9,117,126
Aeden,121,5,126
Alisia,0,126,126
Arendine,0,126,126
Adriën,97,27,124
Aleide,3,122,125
Alen,123,3,126
Allisha,0,124,124
Anıl,123,3,126
Antonella,3,123,126
Archibald,124,0,124
Abbygail,0,123,123
Abdeslam,122,3,125
Alev,3,121,124
Amerentia,3,122,125
Anica,0,123,123
Asiye,0,123,123
Aaltinus,122,0,122
Aldegonde,13,109,122
Alletta,0,122,122
Alphonso,110,12,122
Alrik,122,0,122
Anthoinetta,3,121,124
Asmin,3,118,121
Aviva,0,122,122
Ayça,0,122,122
Ayten,0,122,122
Aaltjo,120,3,123
Amer,107,14,121
Ancella,3,119,122
Adelaide,3,119,122
Aisa,3,116,119
Amalie,3,119,122
Amana,0,120,120
Andrés,120,0,120
Andrieske,0,120,120
Ajla,0,119,119
Albèrt,119,0,119
Anky,0,119,119
Adelaïde,3,117,120
Adolfine,0,118,118
Ahsen,16,102,118
Anne-Floor,0,118,118
Annefloor,0,118,118
Antine,0,118,118
Ama,3,116,119
Asmaa,0,117,117
Alpay,116,0,116
Aniel,116,0,116
Albartha,0,115,115
Angelita,3,113,116
Axl,115,0,115
Abena,3,113,116
Augustin,101,12,113
Adája,3,110,113
Adelia,3,111,114
Alco,112,0,112
Anjana,0,112,112
Annouk,0,112,112
Armani,95,17,112
Abdellatif,108,3,111
Aeilko,111,0,111
Amarentia,0,111,111
Andree,70,40,110
Annichje,0,110,110
Arriën,108,3,111
Aukina,0,110,110
Ayush,110,0,110
Amerins,0,109,109
Addie,63,45,108
Alphonsia,3,104,107
Amor,68,40,108
Aden,80,27,107
Alard,107,0,107
Atty,3,106,109
Akkelien,0,106,106
Alaa,37,69,106
Aldegondus,104,3,107
Anet,3,104,107
Assuerus,106,0,106
Athalia,3,105,108
Aura,3,104,107
Adaja,3,102,105
Adelinde,3,104,107
Altina,3,104,107
Abdulrahman,93,11,104
Alistair,100,3,103
Allegonde,6,98,104
Arash,104,0,104
Arie-Jan,102,3,105
Arjette,0,103,103
Asim,100,3,103
Attie,5,98,103
Ake,95,7,102
Akua,0,102,102
Arife,0,102,102
Armande,3,99,102
Aslihan,0,102,102
Ayyoub,102,0,102
Alissia,0,101,101
Ami,56,44,100
Anthe,11,89,100
Antonnette,3,99,102
Apollo,98,3,101
Armgard,3,97,100
Aimeé,3,98,101
Anjani,3,98,101
Adrianna,3,96,99
Allagonda,7,91,98
András,97,3,100
Anne-Louise,0,98,98
Antonietta,0,98,98
Arieta,0,98,98
Asse,98,0,98
Alberthe,0,97,97
Amée,0,97,97
Anne-Jan,95,3,98
Ante,55,42,97
Anushka,0,97,97
Aphrodite,0,97,97
Ardine,3,96,99
Ayda,0,97,97
Achille,80,16,96
