Naam,Categorie,Mannen,Vrouwen,Totaal
Juli,woord,3,68,71
Juni,woord,8,19,27
Jas,woord,15,3,18
Juk,woord,3,3,6
Januari,woord,3,3,6
Jas,woord,0,3,3
Jurk,woord,3,0,3
