Naam,Categorie,Mannen,Vrouwen,Totaal
Gift,woord,3,8,11
Goud,woord,3,0,3
Groen,woord,3,3,6
Geel,woord,3,3,6
Gras,woord,3,0,3
Gat,woord,0,3,3
Golf,woord,3,0,3
Graaf,woord,3,0,3
Grind,woord,0,3,3
