Naam,Categorie,Mannen,Vrouwen,Totaal
Ding,woord,13,6,19
Dag,woord,15,3,18
Diep,woord,3,11,14
Dijk,woord,5,0,5
Duif,woord,3,3,6
December,woord,0,3,3
Diamant,woord,3,0,3
Doen,woord,3,0,3
Donder,woord,3,3,6
Duin,woord,3,0,3
Dans,woord,3,0,3
Deel,woord,0,3,3
