Naam,Categorie,Mannen,Vrouwen,Totaal
Hart,woord,60,3,63
Ham,woord,5,3,8
Hak,woord,5,3,8
Haven,woord,5,3,8
Held,woord,6,0,6
Haas,woord,3,3,6
Herder,woord,3,0,3
Hoen,woord,3,3,6
Hoop,woord,3,3,6
Handel,woord,3,0,3
Heg,woord,0,3,3
Hel,woord,0,3,3
Herfst,woord,0,3,3
Hert,woord,3,0,3
Hand,woord,0,3,3
Hout,woord,3,0,3
