Naam,Categorie,Mannen,Vrouwen,Totaal
Peer,woord,377,3,380
Pop,woord,3,22,25
Pen,woord,10,3,13
Park,woord,6,3,9
Pluim,woord,3,3,6
Pad,woord,0,3,3
Pas,woord,0,3,3
Pers,woord,3,0,3
Pet,woord,3,0,3
Pijl,woord,3,0,3
Pil,woord,3,0,3
Pret,woord,3,0,3
