Naam,Categorie,Mannen,Vrouwen,Totaal
Linde,woord,9,4912,4921
Lot,woord,28,1461,1489
Lente,woord,5,928,933
Luis,woord,475,11,486
Lei,woord,116,72,188
Lam,woord,75,108,183
Les,woord,28,0,28
Lang,woord,9,14,23
Lijn,woord,9,11,20
Loon,woord,19,0,19
Loef,woord,17,0,17
Lip,woord,7,0,7
Laan,woord,3,3,6
Land,woord,3,3,6
Lam,woord,3,3,6
Leven,woord,3,0,3
Lied,woord,0,3,3
Luik,woord,3,0,3
Licht,woord,3,0,3
Lood,woord,3,0,3
Loot,woord,3,0,3
