Naam,Categorie,Mannen,Vrouwen,Totaal
Storm,woord,1921,132,2053
September,woord,3,18,21
Ster,woord,6,14,20
Spijker,woord,13,3,16
Steen,woord,8,3,11
Snel,woord,3,3,6
Slim,woord,3,0,3
Sein,woord,0,3,3
Sok,woord,0,3,3
Slot,woord,3,3,6
Speer,woord,3,0,3
Spier,woord,3,0,3
Spruit,woord,3,0,3
Staal,woord,3,0,3
Stam,woord,3,0,3
Stem,woord,3,0,3
Stil,woord,3,0,3
Stilte,woord,3,0,3
Stuk,woord,0,3,3
