Naam,Categorie,Mannen,Vrouwen,Totaal
Nobel,woord,16,7,23
Net,woord,3,3,6
November,woord,3,3,6
Nat,woord,3,0,3
Neus,woord,0,3,3
Naam,woord,3,0,3
Nevel,woord,0,3,3
Noot,woord,3,0,3
